"from","to","weight_normalized","weight","coauthoring_count"
"BIJ1","GroenLinks",0.773361496512713,0.773361496512713,12
"BIJ1","D66",-0.061335011397917,-0.061335011397917,5
"BIJ1","VVD",-0.59673054431164,-0.59673054431164,0
"BIJ1","Omtzigt",-0.121752910077417,-0.121752910077417,2
"BIJ1","JA21",-0.68224510859647,-0.68224510859647,0
"BIJ1","ChristenUnie",-0.188677351691632,-0.188677351691632,4
"BIJ1","SP",0.764066435177405,0.764066435177405,0
"BIJ1","PvdD",0.883043220269344,0.883043220269344,10
"CDA","BBB",0.130143252109421,0.130143252109421,16
"BBB","PvdA",0.259344604670198,0.259344604670198,16
"BBB","GroenLinks",0.263062629204321,0.263062629204321,9
"D66","BBB",-0.144990563415686,-0.144990563415686,3
"VVD","BBB",0.0780909086316983,0.0780909086316983,48
"Omtzigt","BBB",0.575376690070659,0.575376690070659,32
"BBB","JA21",0.710155079432621,0.710155079432621,62
"ChristenUnie","BBB",0.0966810313023136,0.0966810313023136,33
"SP","BBB",0.440598300708698,0.440598300708698,15
"PvdD","BBB",0.211939791860129,0.211939791860129,7
"CDA","PvdA",0.157098929981814,0.157098929981814,70
"CDA","GroenLinks",0.155239917714752,0.155239917714752,29
"D66","CDA",1.14516394992502,1.14516394992502,121
"CDA","VVD",1.41472072864894,1.41472072864894,222
"Omtzigt","CDA",0.343000156687967,0.343000156687967,7
"CDA","JA21",0.136649795044137,0.136649795044137,8
"ChristenUnie","CDA",1.33292418889824,1.33292418889824,175
"SP","CDA",-0.145920069549217,-0.145920069549217,33
"PvdD","CDA",-0.205408462095186,-0.205408462095186,8
"GroenLinks","PvdA",1.8153378722007,1.8153378722007,359
"D66","PvdA",0.643230637818406,0.643230637818406,96
"VVD","PvdA",0.00187140568217527,0.00187140568217527,39
"Omtzigt","PvdA",0.316044478815575,0.316044478815575,17
"JA21","PvdA",-0.430348946409632,-0.430348946409632,3
"ChristenUnie","PvdA",0.477778546049929,0.477778546049929,72
"SP","PvdA",1.1051951861832,1.1051951861832,132
"PvdD","PvdA",1.26692925341755,1.26692925341755,63
"D66","GroenLinks",0.641371625551344,0.641371625551344,80
"VVD","GroenLinks",1.23934151137323e-05,1.23934151137323e-05,27
"Omtzigt","GroenLinks",0.313255960414983,0.313255960414983,14
"JA21","GroenLinks",-0.430348946409632,-0.430348946409632,3
"ChristenUnie","GroenLinks",0.472201509248744,0.472201509248744,40
"SP","GroenLinks",1.1051951861832,1.1051951861832,88
"PvdD","GroenLinks",1.26692925341755,1.26692925341755,85
"D66","VVD",1.08474605124552,1.08474605124552,153
"D66","Omtzigt",0.196138187590106,0.196138187590106,5
"D66","JA21",-0.28255747117824,-0.28255747117824,3
"D66","ChristenUnie",1.34128974410001,1.34128974410001,151
"D66","SP",0.182195595587144,0.182195595587144,53
"PvdD","D66",0.23796596359899,0.23796596359899,41
"Omtzigt","VVD",0.216587322527783,0.216587322527783,4
"VVD","JA21",0.171041521984775,0.171041521984775,24
"ChristenUnie","VVD",1.17211962779741,1.17211962779741,117
"SP","VVD",-0.275121422109994,-0.275121422109994,32
"PvdD","VVD",-0.362494998661886,-0.362494998661886,10
"Omtzigt","JA21",0.251908555601952,0.251908555601952,11
"ChristenUnie","Omtzigt",0.40713607990159,0.40713607990159,7
"SP","Omtzigt",0.293736331610837,0.293736331610837,34
"PvdD","Omtzigt",0.183125101720675,0.183125101720675,15
"ChristenUnie","JA21",-0.0464629132614247,-0.0464629132614247,7
"SP","JA21",-0.213774017296963,-0.213774017296963,1
"PvdD","JA21",-0.474965240819109,-0.474965240819109,3
"SP","ChristenUnie",0.165464485183591,0.165464485183591,25
"PvdD","ChristenUnie",0.124566215308237,0.124566215308237,17
"PvdD","SP",1.23346703261044,1.23346703261044,59
"ChristenUnie","50PLUS",-2.58587367006748,-2.58587367006748,0
"50PLUS","GroenLinks",-2.58494416393395,-2.58494416393395,0
"D66","50PLUS",-2.58587367006748,-2.58587367006748,0
"50PLUS","SGP",-2.58587367006748,-2.58587367006748,0
"50PLUS","VVD",-2.58587367006748,-2.58587367006748,0
"SP","50PLUS",-2.58494416393395,-2.58494416393395,0
"50PLUS","PvdA",-2.58494416393395,-2.58494416393395,0
"50PLUS","FVD",-2.58494416393395,-2.58494416393395,0
"50PLUS","PVV",-2.58494416393395,-2.58494416393395,0
"PvdD","50PLUS",-2.58494416393395,-2.58494416393395,0
"DENK","50PLUS",-2.58587367006748,-2.58587367006748,0
"50PLUS","CDA",-2.58587367006748,-2.58587367006748,0
"PVV","PVV",-2.58680317620101,-2.58680317620101,0
"BBB","BBB",-2.58680317620101,-2.58680317620101,0
