"from","to","weight","agreement_rate","total_votes","width","color"
"CDA","VVD",2961,0.886261598323855,3341,2.68937329700272,"#808080D9"
"CDA","G<U+00FC>ndogan",1833,0.554278802540067,3307,1.66485013623978,"#80808014"
"CDA","Omtzigt",2112,0.639031770045386,3305,1.91825613079019,"#80808014"
"CDA","JA21",2041,0.616430081546361,3311,1.85376930063579,"#80808014"
"Fractie Den Haan","CDA",2034,0.614501510574018,3310,1.84741144414169,"#80808014"
"CDA","ChristenUnie",2887,0.86879325910322,3323,2.62216167120799,"#808080D9"
"CDA","SP",1818,0.544964028776978,3336,1.65122615803815,"#80808014"
"PvdD","CDA",1785,0.537003610108303,3324,1.62125340599455,"#80808014"
"CDA","Groep Van Haga",1888,0.568674698795181,3320,1.71480472297911,"#80808014"
"PvdA","GroenLinks",3303,0.990999099909991,3333,3,"#808080D9"
"D66","PvdA",2422,0.725584182144997,3338,2.19981834695731,"#808080D9"
"PvdA","VVD",1889,0.566756675667567,3333,1.71571298819255,"#80808014"
"PvdA","G<U+00FC>ndogan",2178,0.659600242277408,3302,1.97820163487738,"#80808014"
"Omtzigt","PvdA",2104,0.637575757575758,3300,1.91099000908265,"#80808014"
"PvdA","JA21",1537,0.464912280701754,3306,1.39600363306085,"#80808014"
"Fractie Den Haan","PvdA",2651,0.802118003025719,3305,2.4078110808356,"#808080D9"
"PvdA","ChristenUnie",2298,0.692794694000603,3317,2.08719346049046,"#80808014"
"PvdA","SP",2792,0.838438438438438,3330,2.53587647593097,"#808080D9"
"PvdD","PvdA",2928,0.883524441762221,3314,2.65940054495913,"#808080D9"
"PvdA","Groep Van Haga",1513,0.456547978273989,3314,1.37420526793824,"#80808014"
"D66","GroenLinks",2427,0.724261414503133,3351,2.20435967302452,"#808080D9"
"GroenLinks","VVD",1895,0.566347878063359,3346,1.72116257947321,"#80808014"
"G<U+00FC>ndogan","GroenLinks",2181,0.659111514052584,3309,1.98092643051771,"#80808014"
"Omtzigt","GroenLinks",2104,0.636226186876323,3307,1.91099000908265,"#80808014"
"JA21","GroenLinks",1538,0.464231814065801,3313,1.3969118982743,"#80808014"
"Fractie Den Haan","GroenLinks",2652,0.800724637681159,3312,2.40871934604905,"#808080D9"
"ChristenUnie","GroenLinks",2295,0.690225563909774,3325,2.08446866485014,"#80808014"
"GroenLinks","SP",2795,0.836826347305389,3340,2.5386012715713,"#808080D9"
"PvdD","GroenLinks",2932,0.881274421400661,3327,2.6630336058129,"#808080D9"
"GroenLinks","Groep Van Haga",1518,0.456541353383459,3325,1.37874659400545,"#80808014"
"D66","VVD",2697,0.804594272076372,3352,2.44959128065395,"#808080D9"
"D66","G<U+00FC>ndogan",2058,0.620814479638009,3315,1.8692098092643,"#80808014"
"D66","Omtzigt",2018,0.609115605191669,3313,1.83287920072661,"#80808014"
"D66","JA21",1670,0.503163603495029,3319,1.51680290644868,"#80808014"
"Fractie Den Haan","D66",2262,0.681735985533454,3318,2.05449591280654,"#80808014"
"D66","ChristenUnie",2904,0.871810267187031,3331,2.63760217983651,"#808080D9"
"D66","SP",2097,0.626531221989842,3347,1.90463215258856,"#80808014"
"PvdD","D66",2146,0.643671265746851,3334,1.94913714804723,"#80808014"
"D66","Groep Van Haga",1597,0.479291716686675,3332,1.45049954586739,"#80808014"
"G<U+00FC>ndogan","VVD",1751,0.529003021148036,3310,1.59037238873751,"#80808014"
"Omtzigt","VVD",2007,0.60671100362757,3308,1.82288828337875,"#80808014"
"JA21","VVD",2069,0.624321062160531,3314,1.87920072661217,"#80808014"
"Fractie Den Haan","VVD",1950,0.588590401448838,3313,1.77111716621253,"#80808014"
"ChristenUnie","VVD",2738,0.823211064341551,3326,2.48683015440509,"#808080D9"
"VVD","SP",1703,0.509727626459144,3341,1.54677565849228,"#80808014"
"PvdD","VVD",1641,0.493088942307692,3328,1.49046321525886,"#80808014"
"VVD","Groep Van Haga",1944,0.584485868911605,3326,1.76566757493188,"#80808014"
"Omtzigt","G<U+00FC>ndogan",1662,0.50516717325228,3290,1.50953678474114,"#80808014"
"JA21","G<U+00FC>ndogan",1326,0.402550091074681,3294,1.20435967302452,"#80808014"
"Fractie Den Haan","G<U+00FC>ndogan",2285,0.693474962063733,3295,2.07538601271571,"#80808014"
"ChristenUnie","G<U+00FC>ndogan",1982,0.601152562936002,3297,1.80018165304269,"#80808014"
"G<U+00FC>ndogan","SP",1943,0.587541578469912,3307,1.76475930971844,"#80808014"
"PvdD","G<U+00FC>ndogan",2011,0.610318664643399,3295,1.82652134423252,"#80808014"
"G<U+00FC>ndogan","Groep Van Haga",1242,0.376591873862947,3298,1.12806539509537,"#80808014"
"Omtzigt","JA21",1929,0.585965978128797,3292,1.75204359673025,"#80808014"
"Fractie Den Haan","Omtzigt",2003,0.608259945338597,3293,1.81925522252498,"#80808014"
"Omtzigt","ChristenUnie",2171,0.658877086494689,3295,1.97184377838329,"#80808014"
"Omtzigt","SP",2059,0.622995461422088,3305,1.87011807447775,"#80808014"
"PvdD","Omtzigt",1998,0.606741573033708,3293,1.81471389645777,"#80808014"
"Omtzigt","Groep Van Haga",1845,0.559769417475728,3296,1.67574931880109,"#80808014"
"Fractie Den Haan","JA21",1664,0.504701243554747,3297,1.51135331516803,"#80808014"
"ChristenUnie","JA21",1856,0.562253862465919,3301,1.68574023614896,"#80808014"
"JA21","SP",1699,0.513138024765932,3311,1.54314259763851,"#80808014"
"PvdD","JA21",1489,0.451622687291477,3297,1.35240690281562,"#80808014"
"JA21","Groep Van Haga",2670,0.808600847970927,3302,2.42506811989101,"#808080D9"
"Fractie Den Haan","ChristenUnie",2203,0.667575757575758,3300,2.00090826521344,"#80808014"
"Fractie Den Haan","SP",2488,0.75166163141994,3310,2.2597638510445,"#808080D9"
"PvdD","Fractie Den Haan",2514,0.762280169799879,3298,2.28337874659401,"#808080D9"
"Fractie Den Haan","Groep Van Haga",1566,0.47440169645562,3301,1.42234332425068,"#80808014"
"ChristenUnie","SP",2087,0.628236002408188,3322,1.89554950045413,"#80808014"
"PvdD","ChristenUnie",2062,0.62314898760955,3309,1.87284287011807,"#80808014"
"ChristenUnie","Groep Van Haga",1707,0.516177804656789,3307,1.55040871934605,"#80808014"
"PvdD","SP",2875,0.865182064399639,3323,2.61126248864668,"#808080D9"
"SP","Groep Van Haga",1706,0.513700692562481,3321,1.54950045413261,"#80808014"
"PvdD","Groep Van Haga",1532,0.463119709794438,3308,1.39146230699364,"#80808014"
"PvdD","PvdD",0,0,12,0.5,"#80808014"
"D66","D66",0,0,19,0.5,"#80808014"
"CDA","CDA",0,0,12,0.5,"#80808014"
"PVV","PVV",0,0,16,0.5,"#80808014"
"VVD","VVD",0,0,15,0.5,"#80808014"
"SP","SP",0,0,13,0.5,"#80808014"
"GroenLinks","GroenLinks",0,0,15,0.5,"#80808014"
"D66","Ephraim",120,0.108597285067873,1105,0.5,"#80808014"
"ChristenUnie","Ephraim",137,0.124772313296903,1098,0.5,"#80808014"
"G<U+00FC>ndogan","Ephraim",428,0.389799635701275,1098,0.5,"#80808014"
"CDA","Ephraim",158,0.143636363636364,1100,0.5,"#80808014"
"DENK","Ephraim",134,0.122040072859745,1098,0.5,"#80808014"
"Ephraim","Groep Van Haga",228,0.206896551724138,1102,0.5,"#80808014"
"BBB","Ephraim",218,0.198181818181818,1100,0.5,"#80808014"
"SP","Ephraim",116,0.105550500454959,1099,0.5,"#80808014"
