"from","to","z_score","raw_weight","agreement_rate","total_votes","weight","width","color"
"BBB","Volt",0.32158611849697,2103,0.638821385176185,3292,0.32158611849697,1.66079305924849,"#80808026"
"CDA","BIJ1",-0.527841602548881,1510,0.458131067961165,3296,-0.527841602548881,1.23607919872556,"#80808026"
"ChristenUnie","BIJ1",-0.192654272490316,1744,0.530736457699331,3286,-0.192654272490316,1.40367286375484,"#80808026"
"D66","BIJ1",-0.0651684931090666,1833,0.554782082324455,3304,-0.0651684931090666,1.46741575344547,"#80808026"
"DENK","BIJ1",0.665367995480113,2343,0.712591240875912,3288,0.665367995480113,1.83268399774006,"#80808026"
"BIJ1","Ephraim",-2.48310102789051,145,0.132662397072278,1093,-2.48310102789051,0.3,"#80808026"
"FVD","BIJ1",-0.928920459029215,1230,0.373860182370821,3290,-0.928920459029215,1.03553977048539,"#80808026"
"Fractie Den Haan","BIJ1",0.494909481475971,2224,0.677222898903776,3284,0.494909481475971,1.74745474073799,"#80808026"
"G<U+00FC>ndogan","BIJ1",-0.188356999028026,1747,0.532459615970741,3281,-0.188356999028026,1.40582150048599,"#80808026"
"GroenLinks","BIJ1",0.781394378961924,2424,0.734990903577926,3298,0.781394378961924,1.89069718948096,"#80808026"
"BIJ1","Groep Van Haga",-0.822921046959412,1304,0.39671432917554,3287,-0.822921046959412,1.08853947652029,"#80808026"
"JA21","BIJ1",-0.844407414270859,1289,0.392628693268352,3283,-0.844407414270859,1.07779629286457,"#80808026"
"Omtzigt","BIJ1",-0.178330027616018,1754,0.534919182677646,3279,-0.178330027616018,1.41083498619199,"#80808026"
"PVV","BIJ1",-0.638138288080973,1433,0.434637549287231,3297,-0.638138288080973,1.18093085595951,"#80808026"
"PvdA","BIJ1",0.782826803449354,2425,0.736858097842601,3291,0.782826803449354,1.89141340172468,"#80808026"
"PvdD","BIJ1",0.875934395132289,2490,0.758221680876979,3284,0.875934395132289,1.93796719756614,"#80808026"
"BIJ1","SGP",-0.373139757906466,1618,0.491793313069909,3290,-0.373139757906466,1.31343012104677,"#80808026"
"BIJ1","SP",0.755610738188189,2406,0.72997572815534,3296,0.755610738188189,1.87780536909409,"#80808026"
"BIJ1","VVD",-0.704029814502742,1387,0.420430433464686,3299,-0.704029814502742,1.14798509274863,"#80808026"
"Volt","BIJ1",0.771367407549916,2417,0.736890243902439,3280,0.771367407549916,1.88568370377496,"#80808026"
"CDA","ChristenUnie",1.44460691664191,2887,0.86879325910322,3323,1.44460691664191,2.22230345832095,"#4D4D4DCC"
"CDA","D66",1.2469323373766,2749,0.821578003586372,3346,1.2469323373766,2.1234661686883,"#4D4D4DCC"
"DENK","CDA",0.185505792191142,2008,0.604455147501505,3322,0.185505792191142,1.59275289609557,"#80808026"
"CDA","Ephraim",-2.46447950955392,158,0.143636363636364,1100,-2.46447950955392,0.3,"#80808026"
"CDA","FVD",-0.315842778409275,1658,0.498946734878122,3323,-0.315842778409275,1.34207861079536,"#80808026"
"Fractie Den Haan","CDA",0.222748828864316,2034,0.614501510574018,3310,0.222748828864316,1.61137441443216,"#80808026"
"CDA","G<U+00FC>ndogan",-0.0651684931090666,1833,0.554278802540067,3307,-0.0651684931090666,1.46741575344547,"#80808026"
"CDA","GroenLinks",0.212721857452308,2027,0.60688622754491,3340,0.212721857452308,1.60636092872615,"#80808026"
"CDA","Groep Van Haga",0.0136148536995704,1888,0.568674698795181,3320,0.0136148536995704,1.50680742684979,"#80808026"
"CDA","JA21",0.232775800276324,2041,0.616430081546361,3311,0.232775800276324,1.61638790013816,"#80808026"
"CDA","Omtzigt",0.334477938883838,2112,0.639031770045386,3305,0.334477938883838,1.66723896944192,"#80808026"
"CDA","PVV",-0.146816688892563,1776,0.531895777178796,3339,-0.146816688892563,1.42659165555372,"#80808026"
"CDA","PvdA",0.205559735015159,2022,0.607572115384615,3328,0.205559735015159,1.60277986750758,"#80808026"
"PvdD","CDA",-0.133924868505695,1785,0.537003610108303,3324,-0.133924868505695,1.43303756574715,"#80808026"
"CDA","SGP",0.86590742372028,2483,0.746766917293233,3325,0.86590742372028,1.93295371186014,"#80808026"
"CDA","SP",-0.0866548604205131,1818,0.544964028776978,3336,-0.0866548604205131,1.45667256978974,"#80808026"
"CDA","VVD",1.55060632871171,2961,0.886261598323855,3341,1.55060632871171,2.27530316435585,"#4D4D4DCC"
"CDA","Volt",0.285775506311226,2078,0.628554143980641,3306,0.285775506311226,1.64288775315561,"#80808026"
"D66","ChristenUnie",1.46895813292821,2904,0.871810267187031,3331,1.46895813292821,2.23447906646411,"#4D4D4DCC"
"DENK","ChristenUnie",0.453369171340508,2195,0.662941709453337,3311,0.453369171340508,1.72668458567025,"#80808026"
"ChristenUnie","Ephraim",-2.49456042378995,137,0.124772313296903,1098,-2.49456042378995,0.3,"#80808026"
"FVD","ChristenUnie",-0.59516555345808,1463,0.441727053140097,3312,-0.59516555345808,1.20241722327096,"#80808026"
"Fractie Den Haan","ChristenUnie",0.464828567239946,2203,0.667575757575758,3300,0.464828567239946,1.73241428361997,"#80808026"
"ChristenUnie","G<U+00FC>ndogan",0.148262755517968,1982,0.601152562936002,3297,0.148262755517968,1.57413137775898,"#80808026"
"ChristenUnie","GroenLinks",0.596611620083485,2295,0.690225563909774,3325,0.596611620083485,1.79830581004174,"#80808026"
"ChristenUnie","Groep Van Haga",-0.245653978525217,1707,0.516177804656789,3307,-0.245653978525217,1.37717301073739,"#80808026"
"ChristenUnie","JA21",-0.032222729898182,1856,0.562253862465919,3301,-0.032222729898182,1.48388863505091,"#80808026"
"Omtzigt","ChristenUnie",0.418990983642194,2171,0.658877086494689,3295,0.418990983642194,1.7094954918211,"#80808026"
"PVV","ChristenUnie",-0.302950958022408,1667,0.501202645820806,3326,-0.302950958022408,1.3485245209888,"#80808026"
"PvdA","ChristenUnie",0.600908893545774,2298,0.692794694000603,3317,0.600908893545774,1.80045444677289,"#80808026"
"PvdD","ChristenUnie",0.26285671451235,2062,0.62314898760955,3309,0.26285671451235,1.63142835725617,"#80808026"
"ChristenUnie","SGP",0.80717801973566,2442,0.736873868436934,3314,0.80717801973566,1.90358900986783,"#80808026"
"ChristenUnie","SP",0.298667326698094,2087,0.628236002408188,3322,0.298667326698094,1.64933366334905,"#80808026"
"ChristenUnie","VVD",1.23117566801487,2738,0.823211064341551,3326,1.23117566801487,2.11558783400744,"#4D4D4DCC"
"Volt","ChristenUnie",0.668232844454973,2345,0.711468446601942,3296,0.668232844454973,1.83411642222749,"#80808026"
"DENK","D66",0.429017955054202,2178,0.653857700390273,3331,0.429017955054202,1.7145089775271,"#80808026"
"D66","Ephraim",-2.51891164007625,120,0.108597285067873,1105,-2.51891164007625,0.3,"#80808026"
"D66","FVD",-0.739840426688486,1362,0.408518296340732,3334,-0.739840426688486,1.13007978665576,"#80808026"
"Fractie Den Haan","D66",0.549341611998302,2262,0.681735985533454,3318,0.549341611998302,1.77467080599915,"#80808026"
"D66","G<U+00FC>ndogan",0.25712701656263,2058,0.620814479638009,3315,0.25712701656263,1.62856350828132,"#80808026"
"D66","GroenLinks",0.785691652424214,2427,0.724261414503133,3351,0.785691652424214,1.89284582621211,"#80808026"
"D66","Groep Van Haga",-0.403220672142491,1597,0.479291716686675,3332,-0.403220672142491,1.29838966392875,"#80808026"
"D66","JA21",-0.298653684560118,1670,0.503163603495029,3319,-0.298653684560118,1.35067315771994,"#80808026"
"D66","Omtzigt",0.19983003706544,2018,0.609115605191669,3313,0.19983003706544,1.59991501853272,"#80808026"
"D66","PVV",-0.522111904599162,1514,0.451940298507463,3350,-0.522111904599162,1.23894404770042,"#80808026"
"D66","PvdA",0.778529529987065,2422,0.725584182144997,3338,0.778529529987065,1.88926476499353,"#80808026"
"PvdD","D66",0.38318037145645,2146,0.643671265746851,3334,0.38318037145645,1.69159018572822,"#80808026"
"D66","SGP",0.482017661089103,2215,0.664167916041979,3335,0.482017661089103,1.74100883054455,"#80808026"
"D66","SP",0.312991571572391,2097,0.626531221989842,3347,0.312991571572391,1.6564957857862,"#80808026"
"D66","VVD",1.17244626403025,2697,0.804594272076372,3352,1.17244626403025,2.08622313201512,"#4D4D4DCC"
"D66","Volt",0.861610150257991,2480,0.748340374170187,3314,0.861610150257991,1.930805075129,"#80808026"
"DENK","Ephraim",-2.49885769725224,134,0.122040072859745,1098,-2.49885769725224,0.3,"#80808026"
"DENK","FVD",-0.343058843670441,1639,0.494717778448536,3313,-0.343058843670441,1.32847057816478,"#80808026"
"DENK","Fractie Den Haan",1.01344714592555,2586,0.783161720169594,3302,1.01344714592555,2.00672357296277,"#4D4D4DCC"
"DENK","G<U+00FC>ndogan",0.224181253351746,2035,0.616853591997575,3299,0.224181253351746,1.61209062667587,"#80808026"
"DENK","GroenLinks",1.25409445981375,2754,0.828270676691729,3325,1.25409445981375,2.12704722990687,"#4D4D4DCC"
"DENK","Groep Van Haga",-0.0494118237473392,1844,0.557268056814748,3309,-0.0494118237473392,1.47529408812633,"#80808026"
"DENK","JA21",-0.0909521338828024,1815,0.549500454132607,3303,-0.0909521338828024,1.4545239330586,"#80808026"
"DENK","Omtzigt",0.396072191843318,2155,0.653624507127692,3297,0.396072191843318,1.69803609592166,"#80808026"
"DENK","PVV",0.106722445382505,1953,0.587368421052632,3325,0.106722445382505,1.55336122269125,"#80808026"
"DENK","PvdA",1.25552688430118,2755,0.830820265379976,3316,1.25552688430118,2.12776344215059,"#4D4D4DCC"
"DENK","PvdD",1.13520322735708,2671,0.807192505288607,3309,1.13520322735708,2.06760161367854,"#4D4D4DCC"
"DENK","SGP",0.394639767355888,2154,0.649969824984913,3314,0.394639767355888,1.69731988367794,"#80808026"
"DENK","SP",1.22401354557772,2733,0.822944896115628,3321,1.22401354557772,2.11200677278886,"#4D4D4DCC"
